ticker|company|date|close
SWRAY|Swire Pacific Limited|2025-08-29|8.61
SWRAY|Swire Pacific Limited|2025-08-28|8.67
SWRAY|Swire Pacific Limited|2025-08-27|8.63
SWRAY|Swire Pacific Limited|2025-08-26|8.79
SWRAY|Swire Pacific Limited|2025-08-25|8.86
SWRAY|Swire Pacific Limited|2025-08-22|8.83
SWRAY|Swire Pacific Limited|2025-08-21|8.767
SWRAY|Swire Pacific Limited|2025-08-20|8.75
SWRAY|Swire Pacific Limited|2025-08-19|8.765
SWRAY|Swire Pacific Limited|2025-08-18|8.84
SWRAY|Swire Pacific Limited|2025-08-15|8.69
SWRAY|Swire Pacific Limited|2025-08-14|8.75
SWRAY|Swire Pacific Limited|2025-08-13|9.02
SWRAY|Swire Pacific Limited|2025-08-12|8.73
SWRAY|Swire Pacific Limited|2025-08-11|8.66
SWRAY|Swire Pacific Limited|2025-08-08|8.72
SWRAY|Swire Pacific Limited|2025-08-07|8.75
SWRAY|Swire Pacific Limited|2025-08-06|9.0
SWRAY|Swire Pacific Limited|2025-08-05|9.06
SWRAY|Swire Pacific Limited|2025-08-04|9.1
SWRAY|Swire Pacific Limited|2025-08-01|9.11
SWRAY|Swire Pacific Limited|2025-07-31|9.16
SWRAY|Swire Pacific Limited|2025-07-30|9.34
SWRAY|Swire Pacific Limited|2025-07-29|9.42
SWRAY|Swire Pacific Limited|2025-07-28|9.24
SWRAY|Swire Pacific Limited|2025-07-25|9.28
SWRAY|Swire Pacific Limited|2025-07-24|9.23
SWRAY|Swire Pacific Limited|2025-07-23|9.35
SWRAY|Swire Pacific Limited|2025-07-22|9.25
SWRAY|Swire Pacific Limited|2025-07-21|9.08
SWRAY|Swire Pacific Limited|2025-07-18|8.99
SWRAY|Swire Pacific Limited|2025-07-17|9.07
SWRAY|Swire Pacific Limited|2025-07-16|8.95
SWRAY|Swire Pacific Limited|2025-07-15|8.835
SWRAY|Swire Pacific Limited|2025-07-14|8.82
SWRAY|Swire Pacific Limited|2025-07-11|8.76
SWRAY|Swire Pacific Limited|2025-07-10|8.7
SWRAY|Swire Pacific Limited|2025-07-09|8.77
