ticker|company|max_30d|min_30d|diff_30d|max_90d|min_90d|diff_90d|max_360d|min_360d|diff_360d|max_720d|min_720d|diff_720d
SWRAY|Swire Pacific Limited|9.42|8.61|-0.47000000000000064|9.42|8.305|0.28999999999999915|9.44|7.65|0.5399999999999991|9.44|6.2|1.4899999999999993
TJSCF|Tianjin Development Holdings Ltd|0.2325|0.2325|0.0|0.2436|0.2325|-0.011099999999999999|0.2571|0.176|0.05650000000000002|0.2571|0.176|0.04240000000000002
